title,company,location,salary,job_type,description,date,scraped_date
Mid-Level Software Engineer (C#/React/Angular),ArchitectNow,Remote,,"$80,000 - $120,000 a year, Full-time, 8 hour shift","$80,000 - $120,000 a year",,2025-04-30
Software Engineer,VillageMD,"Springfield, IL 62701",,"$98,300 - $122,000 a year","$98,300 - $122,000 a year",,2025-04-30
Software Engineer III,Indeed,Remote,,"$143,000 - $207,000 a year","$143,000 - $207,000 a year",,2025-04-30
Intermediate Software Engineer,Transfire,"Hybrid work in Tukwila, WA 98188",,"$80,000 a year, Full-time, Monday to Friday
+2","$80,000 a year",,2025-04-30
Software Engineer,The Phia Group,Remote,,,,,2025-04-30
Python Software Engineer,After Query,Remote,,$30.00 - $62.23 an hour,$30.00 - $62.23 an hour,,2025-04-30
"Software Engineer, Frontend",Chainlink Labs,Remote,,,,,2025-04-30
Software Engineer,Tackle.io,Remote,,"$87,000 - $108,000 a year","$87,000 - $108,000 a year",,2025-04-30
Python Software Engineer,MORSE Corp,"Cambridge, MA",,,,,2025-04-30
Software Engineer,United States Senate Federal Credit Union,Remote,,"$98,527.91 - $148,988.57 a year","$98,527.91 - $148,988.57 a year",,2025-04-30
Software Engineer,Pie Insurance,Remote,,"$125,000 - $155,000 a year, On call","$125,000 - $155,000 a year",,2025-04-30
Software Engineer,Radiance Technologies,Remote,,"From $80,000 a year","From $80,000 a year",,2025-04-30
"Software Engineer I, Javascript",Nexxen,"Hybrid work in Bellevue, WA",,"$110,000 - $140,000 a year","$110,000 - $140,000 a year",,2025-04-30
"Software Developer, Junior, Part-Time",DeVillier's Technology Solutions,"Remote in Fort Lauderdale, FL",,"$75,000 - $97,000 a year","$75,000 - $97,000 a year",,2025-04-30
Software Engineer- Javascript.Reactjs,translations,"Maynard, MA 01754",,,,,2025-04-30
