title,company,location,salary,job_type,description,date,scraped_date,scraped_at
Software Technical Support & Developer - Level 1,"Associated Appraisal Consultants, Inc.","Appleton, WI 54913",,"$50,000 - $80,000 a year, Full-time, 8 hour shift","Software Technical Support & Developer – Level 1
Job Description
The Software Support & Developer Level I is a full-stack developer position that is part of the team that develops in-house best-in-class applications. This role requires knowledge of all stages of software development and will work alongside other engineers and developers collaborating on the design and coordination of integrations between different software applications. We also value a collaborative and respectful team culture. A diversity of opinions is not just nice to have, it’s a critical business advantage.
Principle Responsibilities
· Reports to and works with the CEO.
· Contribute to the design and overall architecture of software applications.
· Troubleshooting, debugging, maintaining and improving existing software.
· Collaborates with the rest of the Development team to develop and launch new features.
· Maintains code integrity and organization.
· Performs testing of programs and applications.
· Work with State DOR and Counties for all data transfers.
· Observes user feedback to recommend improvements to existing software products.
· Interacts with inside & outside support staff for production bugs or issues reported.
· Responsible for extensive database querying and research, configuring application settings to match business processes and system constraints
· Consults with team members on adapting from old processes to new processes and workflows (process improvement and change management)
· Provide Level 1 & 2 Support to AAC
o Training and assistance, enhanced support, training refreshers and troubleshooting
o Solve AAC problems
§ Password and licensing issues
§ Admin Console or Mobile Assessor (MA) not functioning as expected
§ Assignment Group issues
§ Operator error or workflow issues (priorities, ad-hoc assignment groups, updating assignment groups)
§ Field settings changes
o For issues reported, compare settings to identify any differences that could result in the issue reported.
o Provide or request screenshots or videos of issues reported AAC including logs for sync failures and submit to CAMA provider for resolution.
o Assist in testing new functionality, releases, bug fixes, etc.
· Research and operation of Computer Assisted Mass Appraisal (CAMA) systems to acquire knowledge required to provide quality assurance and implementation of company products.
· Update or maintain syntax/code pertaining to HTML templates, JavaScript data validation and other ETL, SWL, and ODBC related processes.
- Creating GIS maps and working with GIS applications
Required Skills
· Desire to learn and improve
· Desire to seek work out vs being assigned work
· Good collaboration and communication skills
· Analytical mindset
· Proven ability to resolve problems, present solutions and build consensus.
· Professional self-starter: able to develop and improve skill-set and product knowledge.
· Able to work collaboratively in a team setting.
· Strong organization and planning skills.
· Experience using C++, Java, .NET, Python, VB
· Proficiency in Networking
· Proficiency in Microsoft Office, Visual Studio, HTML, and SQL
· Experience providing excellent customer support in the field of technology.
· Solid PC skills (can apply windows updates, familiar with VPN and Remote Desktop Protocol).
· Excellent communication, research, and problem-solving skills.
· Experience with SQL and other database query languages
Preferred Skills
· Experience with VPNs, RDP, and domain/user account information.
· Experience in a helpdesk environment
· Customer conflict resolution
· Knowledge or expertise in Mass Appraisal, County Auditor/Assessor or Treasurer office.
Education and Experience Requirements
· AA or BA in business, computer sciences or computer related field, preferred or equivalent combination of education, training, and experience.
· 2+ years of experience working with latest frontend frameworks with emphasis on Angular 6/7
· Extremely comfortable querying a database using SQL
- 3+ years of GIS experience
Education and Experience (Preferred)
· Exposure to cloud technology and providers (Azure, AWS)
· 2+ years’ experience developing with Object Oriented development languages (such as .NET, C#, JavaScript)
· 2+ years’ experience developing API/web services using REST
· Experience working on a scrum team
· Experience with HTML5/CSS
· Exposure to container orchestration technology such as Docker, Kubernetes, Service Fabric
· Exposure to WinForms applications
· Experience providing software support for a CAMA environment or familiarity with property tax valuation software.
· Experience using VPNs and/or RDP connections.
· Experience training or making presentations to clients.
Physical Requirements
· The ability to stand, walk, sit, and type for long periods of time.
· The ability to lift up to 20 pounds occasionally.
· The ability to kneel, reach, push, pull, and lift occasionally
Benefits
· Health insurance
· Dental insurance
· Vision insurance
· STD & LTD Disability
· Life Insurance
· 12 Company Paid days
· Paid time off
Educational reimbursement
Job Type: Full-time
Pay: $50,000.00 - $80,000.00 per year based upon experience, degrees, pertinent courses taken within the past 10 years, and/or certifications
Job Type: Full-time
Pay: $50,000.00 - $80,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Ability to Commute:
Appleton, WI 54913 (Required)
Ability to Relocate:
Appleton, WI 54913: Relocate before starting work (Required)
Work Location: In person","Associated Appraisal Consultants, Inc.
3.6",2025-05-08,2025-05-08 20:07:57
Software Developer I,3MD Inc.,"Redmond, WA 98052",,"$46.15 an hour, Weekends as needed","Summary of Position:
The Software Developer I is responsible for all aspects of software and systems development. The Software Developer I will direct and participate in programming activities, monitor, and evaluate system performance, and design and implement new programs and features.
Essential Functions:
Design, develop, and create applications and code for computer systems or programs based on business, client, and functional requirements
Apply a high degree of theoretical knowledge and understanding of computer systems and programming to computer systems
Troubleshoot technical system or software issues experienced during development and exercise independent judgment and discretion to determine strong solutions
Create, analyze, manage, and triage systems or software defects
Demonstrate skill in a computer system and software development requirements
Ensure reporting and development meets established client processes and procedures
Communicate and interact with all levels of staff to coordinate project deliverables, including leading meetings and ensuring timely delivery of status reports
Work nights and weekends to meet client and/or project requirements
Write and maintain code
Modify the software to fix errors, adapt it to new hardware, improve its performance, or upgrade interfaces
Competencies:
Ensures Accountability
Tech Savvy
Communicates Effectively
Values Differences
Customer Focus
Resourcefulness
Drives Results
Plans and Prioritizes
Decision Quality
Self-Development
Work Environment:
This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.
Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.
While performing the duties of this job, the employee in this position frequently communicates with other co-workers/clients who have inquiries about the various projects and other needs. Must be able to exchange accurate information in these situations. The employee must be able to remain in a stationary position 75% of the time. The employee in this position needs to occasionally move about inside the office to access file cabinets, office machinery, etc. Constantly operate a computer and office machinery such as a calculator, keyboard, copy machine and printer. Frequently moves boxes with equipment weighing up to 60lbs across the building and to other offsite buildings for various project needs.
Required Education and Experience:
Bachelor’s Degree preferred
5+ years of experience
Qualifications:
Bachelor’s degree preferred
Ability to work independently, make sound discretionary judgments, and without close supervision once high-level goals are defined
Ability to analyze and solve complex problems quickly and creatively
Self-motivated and team player
Strong attention to detail, multi-tasker, and ability to follow written and verbal instructions
General experience with software/programming using C# and/or C++, Java, JavaScript. Other scripting languages are a bonus
Capability/experience operating at software architect level systems/project design
Experience/Ability to interface to outside resources (vendors, cross-org, cross-group)
Ability to practically apply a high degree of theoretical knowledge and understanding of computer systems and programming to computer systems
Strong understanding of backend computer system infrastructure and program design
Knowledge of the software development life cycle
AAP/EEO Statement:
3MD Inc. is an equal opportunity employer and does not discriminate based on gender, sex, age, race and color, religion, marital status, national origin, disability, sexual orientation, gender identity or expression, veteran status or any other category that is protected by applicable law.
Other Duties:
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.",,2025-05-08,2025-05-08 20:07:57
Software Engineer,Bell-Mark Technologies,"Dover, PA 17315",,"From $75,000 a year, Full-time, Monday to Friday
+1","Software Engineer
Company Statement: For over 60 years, Bell-Mark has been developing innovative solutions for package and carton printing applications in the medical device, pharmaceutical, prepared foods, meat, bakery, dairy, and poultry packaging industries. Bell-Mark offers many in-line printing technologies including piezo inkjet, thermal inkjet, thermal transfer, flexographic, and ink coder, all of which satisfy requirements to print directly on package and carton substrates.
Job Description:
Bell-Mark Technologies is seeking a full-time software engineer to write and maintain industrial printer configuration software and drivers for a windows-based environment.
Qualifications:
Strong C#/C++/C language skills and familiarity with assembly language.
Ethernet Network experience a plus.
Strong written and verbal communication skills for technical issues and software documentation
Bachelor’s degree*
Experience in embedded software & software design is preferred (3 years).
Engineering Skills:
Learn existing products operation.
Use creativity to improve reliability, add features and lower costs.
Employ embedded R/T operating systems when appropriate.
Extensive electrical and mechanical design experience is not required but basic proficiency is.
Documentation Skills:
Write source code including an appropriate number of comments.
Be able to write or design software/Firmware specifications.
Ability to read electrical schematics, block diagrams, assembly drawings.
Be self-disciplined to maintain integrity of computer & hardcopy files.
Draw flowcharts when appropriate or required.
Communication Skills:
Meet with management, sales & customers to get & understand goals and report status.
Communicate with vendors to clearly explain requirements.
Explain theories of operation and manufacturing strategies to service & production staff.
Misc. Skills:
Keep up to date on emerging technology.
Be proficient using a desktop PC and office applications.
Have good attendance & professional conduct.
Job Type: Full-time
Pay: From $75,000.00 per year
Benefits:
401(k)
Health insurance
Health savings account
Life insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Experience:
Software design: 5 years (Required)
Ability to Commute:
Dover, PA 17315 (Required)
Ability to Relocate:
Dover, PA 17315: Relocate before starting work (Required)
Work Location: In person","Bell-Mark Technologies
3.3",2025-05-08,2025-05-08 20:07:57
Fullstack Software Engineer (Remote),PermitFlow,"Remote in New York, NY",,"$110,000 - $240,000 a year, Full-time","About PermitFlow
PermitFlow’s mission is to streamline and simplify construction permitting in the $1.6 trillion United States construction market. Our software reduces time to permit, supporting permitting end-to-end including permit research, application preparation, submission, and monitoring.
We’ve raised a $31m Series A led by Kleiner Perkins with participation from Initialized Capital, Y Combinator, Felicis Ventures, Altos Ventures, and the founders and executives from Zillow, PlanGrid, Thumbtack, Bluebeam, Uber, Procore, and more.
Our team consists of architects, structural engineers, permitting experts, and workflow software specialists, all who have personally experienced the pain of permitting.

About the Team
We have a lean but mighty engineering team. We’ve done a lot with a little, but there’s much more work to be done to continue our fast-paced growth and we want you to be a part of that growth. You’ll help us get there by owning end-to-end projects, talking with customers, and ultimately supporting the growth of PermitFlow.
What You’ll Do:
You'll work alongside the CTO and engineering team to develop the first construction permit application and management platform for builders. Our current team consists of engineers from Uber, Amazon, NerdWallet, OnDeck, Harvard, Stanford, and more. We are background and experience agnostic, and we encourage anyone to apply if they are passionate about joining a small team and working to solve a real-world pain point.
Working directly with the founders and users to define the product and engineering roadmap.
Owning and shipping features from inception to implementation.
Developing, iterating, and refining extensible and flexible workflow tooling for permitting.
Build exceptional user experiences that allow users to easily apply, track, and manage their permitting.
Mentoring engineers and others around you to build a culture of technical excellence.
Our Tech Stack:
React
Typescript
Node.js
Postgres

Qualifications & Fit:
Strong experience in professional fullstack development, ideally some of which you’ve spent in startups
Significant experience working within our tech stack, which is listed above
You sweat the important details and strive for excellence in your work
Experience owning technically challenging and demanding cross-functional projects
A record of identifying valuable projects, communicating the strategy for them, and executing on them autonomously
A customer-first mindset and an interest in talking with customers to make sure what we’re building is a polished product meets their needs
Habit of introspection and understanding what’s helped you be successful in the past

Benefits:
Equity packages
Competitive Salary
100% Paid health, dental & vision coverage
Company issued laptop
Lunch & Dinner provided via UberEats w/ a fully stocked kitchen
Commuter benefits
Team building events
Unlimited PTO
Interview Process:
20 minute recruiter screen
Take-home coding assessment (2-3 hours)
1 hour live-coding interview
1 hour system design interview
Culture interview with Hiring Manager
Reference checks
Offer!
Compensation Range: $110K - $240K",,2025-05-08,2025-05-08 20:07:57
Full-Stack Developer / DevOps Lead – SaaS Platform Ownership,The Recovery Shop,"Remote in Englewood Cliffs, NJ 07632",,"$80,000 - $120,000 a year, Full-time, Monday to Friday
+3","Full-Stack Developer / DevOps Lead – SaaS Platform Ownership
Location: Remote (within 2 hours of NYC)
Type: Full-time employee
At Recovery Shop, we're revolutionizing the patient recovery experience through innovative technology and personalized care. We partner with surgeons, doctors, and clinics nationwide to deliver essential products, equipment, and insights directly to patients' homes, optimizing their preparation and healing journey. Our proprietary SaaS platform enables healthcare providers to customize treatment plans with tailored information sheets and product offerings - from consumables to rentable equipment – all seamlessly delivered to patients' doorsteps precisely when needed for their scheduled procedures.
As we rapidly expand into new markets and introduce disruptive capabilities to the healthcare tech space, we're seeking a DevOps guru to help scale our infrastructure and maintain the reliability our medical partners and their patients depend on. Join us in transforming the recovery experience and making a meaningful difference in patients' lives during their most vulnerable moments.
Recovery Shop is growing fast—and we’re ready to bring our SaaS system in-house.
We’re looking for a hands-on, smart, self-directed developer who can take ownership of our new platform (built on .NET Core, Angular, SQL Server, and AI-driven solutions like Replit and Lovable) as we move from third-party development to full internal control. If you’re the kind of person who thrives when handed the keys to something half-built, sees documentation gaps as puzzles to solve, and isn’t afraid of figuring things out under pressure—this could be a great fit.
You’ll be responsible for:
Taking over a newly developed SaaS system (about 60% complete) from an outside firm
Migrating and extracting data from a legacy Laravel-based system (read-only, no new dev needed)
Building and supporting apps and sites for e-commerce and operations
Expertise with Chat GPT/Claude AI/Grok solution and system prompting
Standing up our dev/test/prod environments and owning CI/CD
Supporting and refining the current platform with tactical independence
Adding new tools, features, and integrations over time—sometimes using off-the-shelf solutions, sometimes rolling your own
Collaborating directly with the founders and a strategic tech advisor to bring our big vision to life
Our Tech Stack:
.NET Core (C#), Angular (front end), SQL Server
Azure DevOps (repos, pipelines, deployment)
REST APIs (including payment integrations like Authorize.net)
Replit-developed apps in React JS and/or Python
Bonus points for Laravel/PHP familiarity (for legacy system data work only)
What We’re Looking For:
Someone who can thrive with high autonomy, but doesn’t disappear
Clear, proactive communicator who can explain technical choices to non-technical people
Comfortable making tactical decisions that balance stability, growth, and cost
Experience taking products from dev to launch to production support
Located within 2 hours of NYC and able to meet up occasionally
What We’re Not Looking For:
Someone who needs to be told what to do every day
Overconfidence without experience to back it up
Devs who avoid documentation like it’s radioactive
If this sounds like your kind of challenge, let’s talk.
We don’t care what degrees you have—we care what you can do and how you think.
Job Type: Full-time
Pay: $80,000.00 - $120,000.00 per year
Compensation Package:
Bonus opportunities
Performance bonus
Yearly pay
Schedule:
Monday to Friday
No nights
No weekends
Work Location: Hybrid remote in Englewood Cliffs, NJ 07632",,2025-05-08,2025-05-08 20:08:47
"Software Engineer, Web Marketing",Chime,"Hybrid work in San Francisco, CA 94108",,"$125,640 - $174,500 a year, Full-time","About the role
Chime is looking for engineers to join our fast growing team, where you will work closely with our Marketing and Product teams to drive enrollment growth and build a world-class chime.com experience. You will influence architecture, build exciting new web features, and maintain the ongoing health of the code.
The base salary offered for this role and level of experience will begin at $125,640 and up to $174,500. Full-time employees are also eligible for a bonus, competitive equity package, and benefits. The actual base salary offered may be higher, depending on your location, skills, qualifications, and experience.
In this role, you can expect to
Design, develop, test, refactor and scale backend implementations of new and existing features
Collaborate with multi-functional teams to effectively scale our paid ads across new and existing channels.
Proactively find opportunities for improving the reliability and scalability of our systems
Work across the engineering team to improve and uphold high technical standards
To thrive in this role, you have
2+ years developing software in a production environment at scale
Experience running A/B tests and/or personalization features
Experience working with NextJS/React is a plus
Experience with CMS platforms is a plus
Exposure to architectural patterns of large, high-scale web applications
An appreciation of maintainable and well-tested code
A desire to learn and dive into the deepest levels of how things work
A little about us
At Chime, we believe that everyone can achieve financial progress. We created Chime—a financial technology company, not a bank*—on the premise that basic banking services should be helpful, transparent, and free. Through our user-friendly tools and intuitive platforms, we empower our members to take control of their finances and work towards their goals. Whether it's starting a savings account, purchasing a first car or home, launching a business, or pursuing higher education, we're proud to have helped millions unlock their financial potential.
We're a team of problem solvers, dreamers, and builders with one shared obsession: our members. From day one, Chimers have worked tirelessly to out-hustle and out-execute competitors to bring our mission to life. Their grit and determination inspire us to work harder every day to deliver the very best experience possible. We each bring an owner's mindset to our work, refusing to be outdone and holding ourselves accountable to meet and exceed the highest bars for our teams, our company, and our members.
We believe in being bold, dreaming big, and taking risks, while also working together, embracing our diverse perspectives, and giving each other honest feedback. Our culture remains deeply entrepreneurial, encouraging every Chimer to see themselves as stewards of our mission to help everyday Americans unlock their financial progress.
We know that to achieve our mission, we must earn and keep people's trust—so we hold ourselves to the highest standards of integrity in everything we do. These aren't just words on a wall—our values are embedded in every aspect of our business, serving as a north star that guides us as we work to help millions achieve their financial potential.
Because if we don't—who will?
Chime is a financial technology company, not a bank. Banking services provided by The Bancorp Bank, N.A. or Stride Bank, N.A., Members FDIC.
What we offer
A thoughtful hybrid work policy that combines in-office days and trips to team and company-wide events depending on location to ensure you stay connected to your work and teammates, whether you're local to one of our offices or remote
Hybrid work perks like backup child, elder and/or pet care, as well as a subsidized commuter benefit
Competitive salary based on experience
✨ 401k match plus great medical, dental, vision, life, and disability benefits
Generous vacation policy and company-wide Chime Days, bonus company-wide paid days off
1% of your time off to support local community organizations of your choice
Annual wellness stipend to use towards eligible wellness related expenses
Up to 24 weeks of paid parental leave for birthing parents and 12 weeks of paid parental leave for non-birthing parents
Access to Maven, a family planning tool, with $15k lifetime reimbursement for egg freezing, fertility treatments, adoption, and more.
In-person and virtual events to connect with your fellow Chimers—think cooking classes, guided meditations, music festivals, mixology classes, paint nights, etc., and delicious snack boxes, too!
A challenging and fulfilling opportunity to join one of the most experienced teams in FinTech and help millions unlock financial progress
We know that great work can't be done without a diverse team and inclusive environment. That's why we specifically look for individuals of varying strengths, skills, backgrounds, and ideas to join our team. We believe this gives us a competitive advantage to better serve our members and helps us all grow as Chimers and individuals.
We hire candidates of any race, color, ancestry, religion, sex, national origin, sexual orientation, gender identity, age, marital or family status, disability, Veteran status, and any other status. Chime is proud to be an Equal Opportunity Employer and will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance, Cook County Ordinance, and consistent with Canadian provincial and federal laws. If you have a disability or special need that requires accommodation, please let us know.
To learn more about how Chime collects and uses your personal information during the application process, please see the Chime Applicant Privacy Notice.
#LI-Hybrid #LI-SB1",,2025-05-08,2025-05-08 20:08:47
Looking for Entry Level Software Engineers,AG Technologies,"Chesterfield, MO",,,"Company Description

AG Technologies was founded as a software solutions company in 2008 & has its corporate headquarters at Chesterfield, Missouri with branches within the US and India. Over the years the organization has expanded into various market segments & activities including ""Consultancy services"" of technical personnel in large and multi-national organizations. Over the last five years, our client base of Fortune 100 companies has expanded dramatically

Job Description

Required skills:c++,sql,unix,

Qualifications

Bachelors or Masters



Additional Information

Further Information please contact to 214-295-4212",,2025-05-08,2025-05-08 20:08:47
Embedded Software Engineer,Athlete Management Technologies,"San Diego, CA 92130",,"$115,744 - $123,205 a year, Full-time, 8 hour shift","Embedded Software Engineer Opportunity at Athlete Management Technologies
About Us:
At Athlete Management Technologies, we're not just another large tech firm. We're a nimble, innovative software company, focused on integrating and optimizing athlete management solutions. We specialize in aggregating data from a variety of custom-built and third-party applications. As we expand, including the exciting acquisition of a GPS wearable company and the establishment of a new production facility in San Diego, we're seeking talented individuals who thrive in a fast-paced, idea-driven environment.
The Role:
We're looking for an Embedded Software Engineer who is passionate about creating impact. In this role, you'll collaborate closely with our hardware engineers and software team, bringing your expertise to the forefront of our product development. This is a unique opportunity to see your ideas come to life quickly and make a real difference in the sports technology industry.
Responsibilities:
- Design, develop, and debug firmware for various wearable devices, focusing on innovation and efficiency.
- Utilize your knowledge of wireless communications, including Wi-Fi, BLE, and UWB, to enhance our product offerings.
- Apply your experience with wireless protocol stacks, sensor drivers, and hardware/firmware integration to solve complex technical challenges.
Qualifications:
- A Bachelor's or Master's degree in Electrical Engineering, Computer Science, or equivalent experience.
- Industry experience in low-level embedded software development, bringup, and testing.
- Proficiency in C and C++ programming languages in embedded contexts.
- Basic grasp of electronics fundamentals and ability to read schematics.
- Experience working with digital multimeters, oscilloscopes, logic analyzers, and other hardware test tools.
- Familiarity with Arm Cortex-M architecture.
- Prior experience with RTOS and threading concepts (Zephyr preferred).
- A background in team sports is advantageous, aligning with our company's focus and culture.
Preferences:
- Proficiency in Python and shell scripting for testing and data analysis.
- Previous experience developing on Nordic Semiconductor SoCs.
- Experience working with mobile application development teams to integrate IoT products.
- Strong understanding of the BLE protocol and implementation.
- Previous software/firmware development on Linux distributions and familiarity with CLI.
- Physics or AI/ML background.
Why Join Us?
At Athlete Management Technologies, your ideas won't get lost in the shuffle of a large corporation. You'll be part of a close-knit team where innovation is recognized and rewarded. Our agile environment means faster decision-making and the ability to see your contributions directly influence our products and clients. If you're ready to step away from the bureaucracy of big tech firms and make a tangible impact, we'd love to hear from you.
Job Type: Full-time
Pay: $115,744.00 - $123,205.00 per year
Benefits:
Paid time off
Schedule:
8 hour shift
Application Question(s):
Do you have experience with team sports? Please explain in detail.
Do you currently live in San Diego?
Ability to Commute:
San Diego, CA 92130 (Required)
Ability to Relocate:
San Diego, CA 92130: Relocate before starting work (Required)
Work Location: In person",,2025-05-08,2025-05-08 20:08:47
"Full Stack Engineer (PHP, JavaScript, Nodejs)",NICE,"Sandy, UT 84070",,,"At NICE, we don't limit our challenges. We challenge our limits. Always. We're ambitious. We're game changers. And we play to win. We set the highest standards and execute beyond them. And if you're like us, we can offer you the ultimate career opportunity that will light a fire within you.
As the world's leading Contact Center as a Service company, NICE CXone serves contact centers, customer service centers, 911 centers, government entities, non-profits among many other companies globally. NICE CXone is the first to market with a complete Cloud offering that covers all the needs traditionally covered by on-premise providers. Our solutions not only involve complex software and networking but have expanded to fill robotic automation and artificial intelligence. We're constantly expanding the horizon of what a contact center solution should be in a hyper-connected world.
Our team is building an exciting new platform that will more cohesively bring all NICE CXone solutions together. As we accelerate our growth together with partners and a developer-friendly ecosystem, the need to further mature our core platform has become a priority. While these new platform capabilities offer a new range of possibilities, we need someone who is hungry to executing on our mission of improving people's lives by powering great customer experiences.
Responsibilities:
Participate in all phases of our software development lifecycle including development, estimation, planning, design, and support.
Contribute to overall design, reliability, and performance of application.

Required Experience:
Bachelor's degree in Computer Science, Business Information Systems or related field or equivalent work experience
3+ years' experience in software development
Experience with HTML5, CSS, JavaScript, and TypeScript
Experience with one or more of the following JavaScript frameworks: React, Vue.js, Svelte, or Angular
Experience with server-side development using either Node.js or PHP/Symphony
Working knowledge of unit testing and test automation
Working knowledge of user stories and use cases
Bonus Experience:
Experience with AWS tech stack
Experience with/knowledge of agile development processes
Experience developing solutions that integrate with customer websites and web applications
About NICE
NICE Ltd. (NASDAQ: NICE) software products are used by 25,000+ global businesses, including 85 of the Fortune 100 corporations, to deliver extraordinary customer experiences, fight financial crime and ensure public safety. Every day, NICE software manages more than 120 million customer interactions and monitors 3+ billion financial transactions.
Known as an innovation powerhouse that excels in AI, cloud and digital, NICE is consistently recognized as the market leader in its domains, with over 8,500 employees across 30+ countries.
NICE is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, age, sex, marital status, ancestry, neurotype, physical or mental disability, veteran status, gender identity, sexual orientation or any other category protected by law.",,2025-05-08,2025-05-08 20:09:37
"C# / VB.NET Web Application Developer (On-site, Must have 3+ years of experience)","United TranzActions, LLC","Miramar, FL 33025",,"$75,000 - $85,000 a year, Full-time, 8 hour shift","Job Summary
Financial Services Organization headquartered in Miramar, Florida is seeking enthusiastic, self-motivated, In-office C# / VB.NET Web Application Developer to join our IT team. The ideal candidate will be responsible for designing, developing, and maintaining web applications that meet our business' and customer's evolving needs.
Responsibilities
Develop and maintain web applications using C#, VB.NET, ASP.NET, .NET Core and related technologies
Write clean, scalable, and efficient code following best practices
Collaborate with cross-functional teams including designers, QA, and project managers
Participate in code reviews, testing, and debugging
Contribute to system architecture and design discussions
Troubleshoot and resolve application issues in production and development environments
Stay up to date with new technologies and industry trends
Required Qualifications
Bachelor’s degree in Computer Science, Software Engineering, or related field (or equivalent experience)
3+ years of experience with C# and/or VB.NET development
Strong knowledge of ASP.NET Web Forms and/or MVC
Knowledge of Razor is a plus
Experience with HTML, CSS, JavaScript, Bootstrap, and jQuery
Familiarity with SQL Server and writing SQL queries
Understanding of object-oriented programming (OOP) principles
Excellent problem-solving and communication skills
Knowledge of Classic ASP, VBScript recommended but not necessary
Preferred Qualifications
Experience with .NET Core / .NET 6+
Knowledge of RESTful API development
Experience with version control systems (e.g., Git)
Knowledge of Agile development methodologies
Employment Type
Full-Time
On-Site
Job Type: Full-time
Pay: $75,000.00 - $85,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Vision insurance
Schedule:
8 hour shift
Education:
Bachelor's (Required)
Ability to Commute:
Miramar, FL 33025 (Required)
Work Location: In person","United TranzActions, LLC
3.6",2025-05-08,2025-05-08 20:09:37
